Company,Mission_Type,Launch_Site,Rocket,Cost_Million_USD,Success,Payload_kg
Roscosmos,Satellite,Vandenberg,Soyuz,64.31,Success,838
Blue Origin,Probe,Jiuquan,GSLV,296.92,Success,6395
ISRO,Satellite,Baikonur,Atlas V,290.49,Success,4562
Blue Origin,Satellite,Vandenberg,Atlas V,210.2,Success,3208
Blue Origin,Cargo,Baikonur,GSLV,452.4,Failure,3652
NASA,Probe,Sriharikota,GSLV,107.94,Partial Failure,2250
ISRO,Probe,Cape Canaveral,Long March 5,198.54,Success,6104
ISRO,Cargo,Sriharikota,Long March 5,194.71,Success,2921
ISRO,Manned,Vandenberg,Atlas V,91.53,Success,7619
Blue Origin,Satellite,Baikonur,Soyuz,266.52,Success,1209
Roscosmos,Rover,Baikonur,Atlas V,359.5,Failure,5819
ISRO,Satellite,Jiuquan,Soyuz,280.25,Success,7109
CNSA,Satellite,Baikonur,Soyuz,120.64,Success,5708
Blue Origin,Manned,Jiuquan,Long March 5,219.78,Success,5887
NASA,Satellite,Cape Canaveral,Falcon 9,51.17,Success,4226
Roscosmos,Cargo,Vandenberg,Falcon 9,440.74,Success,4142
CNSA,Cargo,Jiuquan,GSLV,88.03,Success,4493
CNSA,Probe,Cape Canaveral,Long March 5,318.78,Success,988
NASA,Rover,Baikonur,Soyuz,493.82,Failure,6157
Roscosmos,Satellite,Baikonur,Falcon 9,291.47,Success,546
Blue Origin,Satellite,Cape Canaveral,Soyuz,465.82,Success,3859
SpaceX,Manned,Baikonur,Falcon 9,156.25,Success,5373
Roscosmos,Cargo,Cape Canaveral,Falcon 9,391.98,Failure,5635
NASA,Rover,Jiuquan,Falcon 9,289.07,Partial Failure,5306
CNSA,Probe,Jiuquan,Long March 5,374.23,Success,900
Blue Origin,Cargo,Cape Canaveral,Atlas V,78.05,Success,4490
Roscosmos,Probe,Jiuquan,Soyuz,116.48,Partial Failure,6413
SpaceX,Manned,Jiuquan,Long March 5,109.9,Success,7624
SpaceX,Manned,Jiuquan,Long March 5,359.22,Success,3657
ISRO,Satellite,Sriharikota,Long March 5,430.0,Partial Failure,4845
ISRO,Rover,Vandenberg,Long March 5,387.33,Success,890
NASA,Probe,Baikonur,Long March 5,63.71,Success,4353
Roscosmos,Cargo,Sriharikota,GSLV,440.25,Success,4930
Roscosmos,Manned,Jiuquan,Soyuz,209.37,Success,1128
CNSA,Satellite,Cape Canaveral,Long March 5,228.72,Success,4732
CNSA,Satellite,Jiuquan,Soyuz,97.19,Failure,3430
CNSA,Probe,Vandenberg,GSLV,381.83,Success,7331
ISRO,Manned,Jiuquan,GSLV,132.03,Success,2021
Roscosmos,Rover,Cape Canaveral,Soyuz,303.78,Success,1326
Roscosmos,Manned,Vandenberg,Falcon 9,428.32,Success,5322
SpaceX,Probe,Jiuquan,Atlas V,90.14,Partial Failure,2000
ISRO,Probe,Vandenberg,Falcon 9,290.9,Success,7237
Blue Origin,Manned,Baikonur,Falcon 9,154.95,Success,3794
ISRO,Probe,Baikonur,Falcon 9,204.32,Failure,5585
Blue Origin,Manned,Jiuquan,Long March 5,263.29,Success,2919
SpaceX,Cargo,Vandenberg,GSLV,209.8,Success,1434
NASA,Manned,Cape Canaveral,Falcon 9,341.97,Success,3542
Roscosmos,Manned,Jiuquan,GSLV,265.81,Success,4997
SpaceX,Probe,Baikonur,Soyuz,312.89,Success,1966
Roscosmos,Probe,Baikonur,Atlas V,381.57,Success,4061
CNSA,Satellite,Jiuquan,Soyuz,300.98,Failure,1114
NASA,Satellite,Vandenberg,Soyuz,313.94,Success,5892
NASA,Cargo,Baikonur,Long March 5,304.01,Success,1682
SpaceX,Satellite,Vandenberg,Atlas V,220.45,Success,3723
NASA,Manned,Baikonur,Soyuz,201.85,Success,7638
Blue Origin,Probe,Baikonur,Soyuz,454.84,Failure,3167
NASA,Satellite,Sriharikota,Atlas V,323.4,Success,6831
Roscosmos,Satellite,Baikonur,Atlas V,159.96,Success,5717
Roscosmos,Cargo,Cape Canaveral,Soyuz,274.21,Success,630
Roscosmos,Cargo,Jiuquan,Atlas V,198.66,Success,7448
Roscosmos,Manned,Jiuquan,Soyuz,470.16,Success,5790
